Title,Url,Category,Views,Activity,Replies,Content,
About the OpenROV Product Support category,https://forum.openrov.com/t/about-the-openrov-product-support-category/2399,OpenROV Product Support,1.2k,Oct '16,0,About the OpenROV Product Support category - OpenROV Product Support - OpenROV Forums,
,,,,,,,
,,,,,,badevguru,"Officially monitored support channel for OpenROV products.Refer to <a href=""https://forum.openrov.com/t/how-to-write-a-good-help-and-support-request/2403"">How to write a good help and support request</a> for how to write a good request for help.After an issue is solved the following should happen:"
How to write a good help and support request,https://forum.openrov.com/t/how-to-write-a-good-help-and-support-request/2403,OpenROV Product Support,1.5k,Apr '15,2,How to write a good help and support request - OpenROV Product Support - OpenROV Forums,
,,,,,,,
,,,,,,badevguru,"Put a clear summary of the symptom you are seeing in the title of the topic post.<code>""ROV turns in a circle when pressing forward on the gamepad""</code> is way clearer than <code>""The ROV controls don't work right""</code>.  The clearer your topic, the faster it will get help.In the Description include details that identify the type and version of the system that is having a problem. Ex: OpenROV 2.6, Software version 2.5.1-final.Use the tag options. Put a tag that matches the nature of the area that is having issues when possible.  A problem programming the ESC = a problem with the <code>propulsion</code> system.In the description be clear with what steps you are performing that are not working as expected.Keep on topic. If you have more than one item that you are asking for help with, open more than one request."
,,,,,,badevguru,
,,,,,,badevguru,"I moved a post to a new topic: <a href=""https://forum.openrov.com/t/problem-powering-the-rov/2687"">Problem powering the ROV</a>"
Trident Tether Construction?,https://forum.openrov.com/t/trident-tether-construction/6997,Trident,53,15h,2,Trident Tether Construction? - Trident - OpenROV Forums,
,,,,,,,
,,,,,,Jochen_Reinhard,"Has anybody yet accidentally cut the Trident tether and can elaborate on the construction? Is it a two wire tether despite the three contacts in the connector? It looks identical to the old neutrally buoyant tether - is this the case?Iâ€™m considering using some old disconnects from my OpenROV 2.6 to cobble together a longer tether - I have laying around another 50 m of the old neutral buoyant tether, Iâ€™d like to be able to use that in case I have to go further, e. g. along a pipeâ€¦Thanks, Jorre"
,,,,,,kf4hrkf4hr,"I havenâ€™t managed to accidentally cut my tender (thankfully), but Iâ€™d venture a guess that there are three conductors in the tender; DC+, DC-, and Data."
,,,,,,Eric_Stackpole,"Hey guys,The tether for Trident has two conductors (just like the neutrally buoyant tether we sell for the 2-series). One of the three pins on the connector is not connected to anything, but that pin on the vehicle is used for charging the batteries.Keep in mind that if the tether is extended very far beyond 100m (maybe over 120m or so) it will start to have trouble delivering enough power to support the topside, especially durring startup. Weâ€™ve been considering an adapter that could supplement power to the topside to allow (much) longer tethers, and Iâ€™d love to gauge how much interest there would be in that sort of a thing.Best of luck with your project- please let us know what youâ€™re aiming to do!Eric"
Trident return home option,https://forum.openrov.com/t/trident-return-home-option/7002,OpenROV Product Support,56,4d,0,Trident return home option - OpenROV Product Support - OpenROV Forums,
,,,,,,,
,,,,,,jsalasky,"It would be nice if it had a return home button, for those times you lose it."
