name,url,replies,views,
About the Trident category,https://forum.openrov.com/t/about-the-trident-category/4903,1,630,"
             2016-10-19 19:57:03 UTC
           "
Live streaming video to internet,https://forum.openrov.com/t/live-streaming-video-to-internet/7104,16,208,"
             2018-12-06 09:24:45 UTC
           "
Trident Cockpit (near) Autonomous Pattern Search,https://forum.openrov.com/t/trident-cockpit-near-autonomous-pattern-search/6953,2,150,"
             2018-10-25 12:31:02 UTC
           "
GoPro Fitment on Trident body?,https://forum.openrov.com/t/gopro-fitment-on-trident-body/6153,6,649,"
             2018-02-11 15:54:15 UTC
           "
Left / Right Controls,https://forum.openrov.com/t/left-right-controls/7070,1,93,"
             2018-11-27 01:13:27 UTC
           "
Battery/Charge/Connection Issue,https://forum.openrov.com/t/battery-charge-connection-issue/7075,1,104,"
             2018-11-28 06:54:14 UTC
           "
"Recommended control hardware (computer, controller)",https://forum.openrov.com/t/recommended-control-hardware-computer-controller/4619,22,3.2k,"
             2016-07-27 17:04:25 UTC
           "
Batteries wonêt charge on new Trident,https://forum.openrov.com/t/batteries-wont-charge-on-new-trident/6699,5,224,"
             2018-08-29 07:14:45 UTC
           "
VR headset for FPV Trident Flying - On the Cheap and Hacky,https://forum.openrov.com/t/vr-headset-for-fpv-trident-flying-on-the-cheap-and-hacky/6239,30,1.8k,"
             2018-03-25 01:33:23 UTC
           "
Trident Control without controller?,https://forum.openrov.com/t/trident-control-without-controller/7040,0,76,"
             2018-11-18 20:56:17 UTC
           "
Modifing trident by adding bluerobotics t200 thruster propellers,https://forum.openrov.com/t/modifing-trident-by-adding-bluerobotics-t200-thruster-propellers/7036,0,100,"
             2018-11-18 04:29:35 UTC
           "
Trident control,https://forum.openrov.com/t/trident-control/6256,15,1.6k,"
             2018-03-31 23:11:41 UTC
           "
Trident Tether Construction?,https://forum.openrov.com/t/trident-tether-construction/6997,2,126,"
             2018-11-07 07:51:59 UTC
           "
JXD owner access denied,https://forum.openrov.com/t/jxd-owner-access-denied/6959,0,104,"
             2018-10-27 15:46:17 UTC
           "
Trident Video Glitch,https://forum.openrov.com/t/trident-video-glitch/6446,9,555,"
             2018-06-05 11:18:14 UTC
           "
Trident Tether VS OpenROV Tether,https://forum.openrov.com/t/trident-tether-vs-openrov-tether/6541,4,387,"
             2018-07-09 18:46:30 UTC
           "
Extracting video files from trident,https://forum.openrov.com/t/extracting-video-files-from-trident/6939,1,114,"
             2018-10-21 10:23:47 UTC
           "
FPV goggles for the Trident?,https://forum.openrov.com/t/fpv-goggles-for-the-trident/6119,5,1.0k,"
             2018-01-28 01:00:18 UTC
           "
Trident to Pixel One Connectivity Issue Resolved,https://forum.openrov.com/t/trident-to-pixel-one-connectivity-issue-resolved/6871,1,141,"
             2018-10-08 19:32:13 UTC
           "
Trident Controls how to correct?,https://forum.openrov.com/t/trident-controls-how-to-correct/6624,5,323,"
             2018-08-14 01:04:59 UTC
           "
What thread for the tether connection?,https://forum.openrov.com/t/what-thread-for-the-tether-connection/6880,3,147,"
             2018-10-10 07:32:03 UTC
           "
1080p video not recorded,https://forum.openrov.com/t/1080p-video-not-recorded/6888,2,128,"
             2018-10-10 21:44:18 UTC
           "
Gen 2 Motor Status?,https://forum.openrov.com/t/gen-2-motor-status/6806,3,245,"
             2018-09-28 00:59:06 UTC
           "
Camera Quality Concerns,https://forum.openrov.com/t/camera-quality-concerns/6252,9,866,"
             2018-03-29 12:33:56 UTC
           "
Pitch thruster mounting screws,https://forum.openrov.com/t/pitch-thruster-mounting-screws/6787,3,154,"
             2018-09-21 17:22:23 UTC
           "
V1.5.1 Trident update is stuck at Idle (100%),https://forum.openrov.com/t/v1-5-1-trident-update-is-stuck-at-idle-100/6609,6,418,"
             2018-08-10 13:26:43 UTC
           "
Transfer video clips via USB on wifi buoy,https://forum.openrov.com/t/transfer-video-clips-via-usb-on-wifi-buoy/6625,4,369,"
             2018-08-14 12:06:01 UTC
           "
FTP access to media files,https://forum.openrov.com/t/ftp-access-to-media-files/6191,2,390,"
             2018-02-26 03:33:01 UTC
           "
[Solved] Shipping Status of Trident,https://forum.openrov.com/t/solved-shipping-status-of-trident/6223,8,960,"
             2018-03-15 15:05:26 UTC
           "
App not connecting to Trident,https://forum.openrov.com/t/app-not-connecting-to-trident/6767,1,145,"
             2018-09-14 02:07:33 UTC
           "
[SOLVED] Trident 1080 video- Where is it?,https://forum.openrov.com/t/solved-trident-1080-video-where-is-it/6754,4,338,"
             2018-09-10 13:28:13 UTC
           "
Is this payload going to work?,https://forum.openrov.com/t/is-this-payload-going-to-work/6702,6,310,"
             2018-08-29 10:19:18 UTC
           "
Wireless to Payload status?,https://forum.openrov.com/t/wireless-to-payload-status/6409,7,432,"
             2018-05-22 02:11:50 UTC
           "
How to use stored telemetry data?,https://forum.openrov.com/t/how-to-use-stored-telemetry-data/6430,24,912,"
             2018-05-28 22:16:44 UTC
           "
About the four LEDs (red and green) on the tail of Trident,https://forum.openrov.com/t/about-the-four-leds-red-and-green-on-the-tail-of-trident/6443,5,370,"
             2018-06-02 09:19:23 UTC
           "
Troubleshooting: No Motor activity,https://forum.openrov.com/t/troubleshooting-no-motor-activity/6637,4,133,"
             2018-08-16 16:49:23 UTC
           "
Chaniging Units to US,https://forum.openrov.com/t/chaniging-units-to-us/6596,2,211,"
             2018-08-02 13:54:48 UTC
           "
Create a code for Arduino nano to control manipulator,https://forum.openrov.com/t/create-a-code-for-arduino-nano-to-control-manipulator/6620,1,151,"
             2018-08-13 07:06:23 UTC
           "
3d-printed parts?,https://forum.openrov.com/t/3d-printed-parts/6553,5,357,"
             2018-07-14 16:48:43 UTC
           "
