name,url,,,
About the Tips and Tricks Category,https://forum.openrov.com/t/about-the-tips-and-tricks-category/2163,0,1.1k,"
             2015-02-03 07:15:02 UTC
           "
Improving daylight readability for the Trident Controller,https://forum.openrov.com/t/improving-daylight-readability-for-the-trident-controller/6831,3,256,"
             2018-10-02 22:37:19 UTC
           "
Flashing a blank atmega8 with simonK firmware,https://forum.openrov.com/t/flashing-a-blank-atmega8-with-simonk-firmware/3125,0,4.5k,"
             2015-07-28 18:55:50 UTC
           "
Telemetry Data Access and Management Protocol,https://forum.openrov.com/t/telemetry-data-access-and-management-protocol/4078,9,2.6k,"
             2016-03-16 01:55:40 UTC
           "
Troubleshooting: Cannot connect to ROV,https://forum.openrov.com/t/troubleshooting-cannot-connect-to-rov/2164,7,4.5k,"
             2015-02-03 08:16:16 UTC
           "
Instructions: Burning SD card image on windows,https://forum.openrov.com/t/instructions-burning-sd-card-image-on-windows/1341,11,4.6k,"
             2014-11-30 20:58:27 UTC
           "
Updating the Arduino firmware code,https://forum.openrov.com/t/updating-the-arduino-firmware-code/2859,3,2.1k,"
             2015-05-21 19:00:39 UTC
           "
Structure from Motion for documenting for Citizen / Community Science and Marine Archaeology,https://forum.openrov.com/t/structure-from-motion-for-documenting-for-citizen-community-science-and-marine-archaeology/2554,51,14.4k,"
             2015-03-16 07:29:11 UTC
           "
Finding Acrylic Cement Outside the USA,https://forum.openrov.com/t/finding-acrylic-cement-outside-the-usa/2060,85,18.6k,"
             2014-11-06 22:32:43 UTC
           "
OpenROV on Android Mini PC,https://forum.openrov.com/t/openrov-on-android-mini-pc/2982,0,1.5k,"
             2015-06-23 23:39:34 UTC
           "
How to Identify a 4GB MMC/EEPROM (Rev C) BealgeBone Black,https://forum.openrov.com/t/how-to-identify-a-4gb-mmc-eeprom-rev-c-bealgebone-black/4758,0,930,"
             2016-09-14 20:06:37 UTC
           "
Glossary of ROV terms,https://forum.openrov.com/t/glossary-of-rov-terms/3952,3,2.3k,"
             2016-02-23 00:01:37 UTC
           "
Small air bubbles on main tube,https://forum.openrov.com/t/small-air-bubbles-on-main-tube/3705,3,1.3k,"
             2015-12-23 14:33:46 UTC
           "
Checklist: Burning an image to an SD card on OSX via the command-line,https://forum.openrov.com/t/checklist-burning-an-image-to-an-sd-card-on-osx-via-the-command-line/1067,9,2.4k,"
             2014-06-27 18:54:00 UTC
           "
O-ring handling,https://forum.openrov.com/t/o-ring-handling/3291,2,1.2k,"
             2015-09-11 19:56:44 UTC
           "
