Title,Url,Category,Views,Activity,Replies
About the ROV Builders category,https://forum.openrov.com/t/about-the-rov-builders-category/2416,ROV Builders,1.2k,Oct '16,0
Software Exploration - DDS and the Trident #2,https://forum.openrov.com/t/software-exploration-dds-and-the-trident-2/6891,Software,257,4d,10
Control an external servo to control an external camera,https://forum.openrov.com/t/control-an-external-servo-to-control-an-external-camera/6999,Open Talk,27,4d,0
3G/4G Interface?,https://forum.openrov.com/t/3g-4g-interface/6987,Electronics,68,6d,2
Cave Rover powered by 2.6 board,https://forum.openrov.com/t/cave-rover-powered-by-2-6-board/6938,Community Projects,133,8d,1
RTI Connext DDS,https://forum.openrov.com/t/rti-connext-dds/6577,Software,193,15d,2
Simple sonar help,https://forum.openrov.com/t/simple-sonar-help/5762,Add-on Components,426,23d,1
Transmit data through cat5 cable,https://forum.openrov.com/t/transmit-data-through-cat5-cable/5623,Electronics,643,27d,6
Software Exploration - DDS and the Trident #1,https://forum.openrov.com/t/software-exploration-dds-and-the-trident-1/6867,Software,145,10/11/18,3
3d mapping software from monocular images,https://forum.openrov.com/t/3d-mapping-software-from-monocular-images/6130,Software,276,10/10/18,2
IMU interface documentation,https://forum.openrov.com/t/imu-interface-documentation/6864,Electronics,74,10/7/18,1
Blue Robotics/OpenROV 2.8 Hybrid ROV,https://forum.openrov.com/t/blue-robotics-openrov-2-8-hybrid-rov/4727,Project and Build Discussion,8.1k,10/5/18,53
"OpenROV Gripper, Grabber, Manipulator",https://forum.openrov.com/t/openrov-gripper-grabber-manipulator/2926,Project and Build Discussion,29.8k,10/5/18,73
Update on Long Range Wireless Buoy project?,https://forum.openrov.com/t/update-on-long-range-wireless-buoy-project/6768,Open Talk,156,9/20/18,2
Trident thrusters,https://forum.openrov.com/t/trident-thrusters/4336,Hardware,1.5k,9/20/18,9
OpenROV + iRobot Roomba / Create = RCV (remote controlled vehicle),https://forum.openrov.com/t/openrov-irobot-roomba-create-rcv-remote-controlled-vehicle/2898,Project and Build Discussion,1.2k,9/19/18,1
Testing Trident with attached Payloads,https://forum.openrov.com/t/testing-trident-with-attached-payloads/3676,Open Talk,4.9k,9/17/18,18
Beaglebone to Arduino pins,https://forum.openrov.com/t/beaglebone-to-arduino-pins/391,Electronics,530,9/2/18,3
Thruster Speed Control,https://forum.openrov.com/t/thruster-speed-control/6723,Electronics,83,9/2/18,0
Ever tried ethernet via USB?,https://forum.openrov.com/t/ever-tried-ethernet-via-usb/2245,Hardware,1.4k,8/30/18,4
Using OpenRov software with the raspberry Pi,https://forum.openrov.com/t/using-openrov-software-with-the-raspberry-pi/4074,Software,4.3k,8/30/18,35
Trident WiFi interface,https://forum.openrov.com/t/trident-wifi-interface/6665,Add-on Components,190,8/23/18,2
Gripper for less than $40,https://forum.openrov.com/t/gripper-for-less-than-40/6584,Gallery,331,8/12/18,1
Brushless Motors,https://forum.openrov.com/t/brushless-motors/32,Open Talk,7.6k,7/27/18,20
New Release Candidate Image ready with 31.0.0 RC,https://forum.openrov.com/t/new-release-candidate-image-ready-with-31-0-0-rc/4992,Software,7.0k,7/27/18,82
Side scan sonar,https://forum.openrov.com/t/side-scan-sonar/2354,Open Talk,5.5k,7/25/18,13
Laser realtime Distance Measurement plugin,https://forum.openrov.com/t/laser-realtime-distance-measurement-plugin/2479,Open ROV Cockpit-Plugins,6.1k,7/23/18,29
Issue Connecting OpenROV 2.8 to Laptop,https://forum.openrov.com/t/issue-connecting-openrov-2-8-to-laptop/6567,Open Talk,129,7/21/18,3
"SONAR hydrophones, active, doppler, ADCP, ADP, DVL, Fan Beam",https://forum.openrov.com/t/sonar-hydrophones-active-doppler-adcp-adp-dvl-fan-beam/727,Open Talk,3.7k,7/20/18,19
Convert OpenROV 2.8 to Blue Robotics M100 brushless motors,https://forum.openrov.com/t/convert-openrov-2-8-to-blue-robotics-m100-brushless-motors/5231,Open Talk,1.7k,7/16/18,8
Loctite mistake,https://forum.openrov.com/t/loctite-mistake/6547,Hardware,152,7/11/18,0
OpenROV w/Raspberry Pi - not working,https://forum.openrov.com/t/openrov-w-raspberry-pi-not-working/2918,Electronics,15.5k,6/25/18,102
Lumen Subsea Lights on v.2.8,https://forum.openrov.com/t/lumen-subsea-lights-on-v-2-8/6445,Electronics,230,6/5/18,4
Help - Telemetry Data from V2.x/Trident,https://forum.openrov.com/t/help-telemetry-data-from-v2-x-trident/6441,Software,153,5/31/18,0
Solar panel charging,https://forum.openrov.com/t/solar-panel-charging/6393,Project and Build Discussion,172,5/30/18,1
API document and software Architecture of kit 2.8,https://forum.openrov.com/t/api-document-and-software-architecture-of-kit-2-8/6416,Software,236,5/24/18,0
Video Capture Software?,https://forum.openrov.com/t/video-capture-software/4698,Open Talk,1.5k,5/10/18,8
Long distance wifi stup?,https://forum.openrov.com/t/long-distance-wifi-stup/1360,Open Talk,554,5/7/18,5
Ordering Acrylic in Europe in metric units: which dimensions?,https://forum.openrov.com/t/ordering-acrylic-in-europe-in-metric-units-which-dimensions/109,Open Talk,1.3k,5/3/18,19
Raspberry Pi and PS3 joystick controlled OpenROV,https://forum.openrov.com/t/raspberry-pi-and-ps3-joystick-controlled-openrov/5305,Gallery,1.2k,4/22/18,7
‘Clump weight’ system to reduce tether drag,https://forum.openrov.com/t/clump-weight-system-to-reduce-tether-drag/3166,Hardware,2.0k,4/19/18,4
Feature: API Documentation,https://forum.openrov.com/t/feature-api-documentation/2846,Software,1.3k,4/14/18,3
Adding Additional Arduino Using I2C,https://forum.openrov.com/t/adding-additional-arduino-using-i2c/6281,Open Talk,174,4/13/18,0
IMU error with 2.5.1-101 version,https://forum.openrov.com/t/imu-error-with-2-5-1-101-version/1363,Electronics,1.7k,4/13/18,16
GPS tracking for OPENROV 2.8,https://forum.openrov.com/t/gps-tracking-for-openrov-2-8/5821,Open Talk,722,4/6/18,2
Tether or Umbilical,https://forum.openrov.com/t/tether-or-umbilical/6052,Open Talk,456,4/6/18,1
"DIY ROV thruster 4,78 kg (10.5 lbs) from DT700 Brushless Motor",https://forum.openrov.com/t/diy-rov-thruster-4-78-kg-10-5-lbs-from-dt700-brushless-motor/6196,Hardware,605,3/31/18,6
Build log for my DIY ROV,https://forum.openrov.com/t/build-log-for-my-diy-rov/5828,Hardware,1.4k,3/28/18,18
DIY Props for more power from DST-700 motors,https://forum.openrov.com/t/diy-props-for-more-power-from-dst-700-motors/5765,Hardware,713,3/28/18,3
Underwater Archaeological Camera,https://forum.openrov.com/t/underwater-archaeological-camera/2937,Project and Build Discussion,4.1k,3/26/18,11
Firmata and Blue Robotics MS5837 Sensor,https://forum.openrov.com/t/firmata-and-blue-robotics-ms5837-sensor/6236,Electronics,234,3/22/18,0
Hello. OpenROV Mechatronics Engineering Intern + Trident’s External Payload,https://forum.openrov.com/t/hello-openrov-mechatronics-engineering-intern-tridents-external-payload/4441,Open Talk,5.1k,3/19/18,31
Add sensor by SoftwareSerial,https://forum.openrov.com/t/add-sensor-by-softwareserial/5578,Software,698,3/19/18,8
"Acoustic Modems, Location, and Pingers",https://forum.openrov.com/t/acoustic-modems-location-and-pingers/2007,Project and Build Discussion,11.1k,3/16/18,47
Remote power switch circuit,https://forum.openrov.com/t/remote-power-switch-circuit/6217,Electronics,197,3/12/18,0
How do I disable a plugin?,https://forum.openrov.com/t/how-do-i-disable-a-plugin/6204,Software,222,3/2/18,0
IPEGA 9023 and OpenROV,https://forum.openrov.com/t/ipega-9023-and-openrov/6200,Project and Build Discussion,227,2/27/18,0
Tether disconnect,https://forum.openrov.com/t/tether-disconnect/2909,Hardware,4.7k,2/26/18,22
Ways to make leaks less likely on 2.8,https://forum.openrov.com/t/ways-to-make-leaks-less-likely-on-2-8/6174,Project and Build Discussion,383,2/24/18,2
Having trouble getting started with Raspberry Pi openROV,https://forum.openrov.com/t/having-trouble-getting-started-with-raspberry-pi-openrov/5441,Software,1.6k,2/23/18,14
Rover 1 - OpenROV in a recycled body,https://forum.openrov.com/t/rover-1-openrov-in-a-recycled-body/5263,Gallery,1.5k,2/23/18,5
New thruster design,https://forum.openrov.com/t/new-thruster-design/6049,Hardware,779,2/22/18,3
Error compiling: i2c.cc fatal error!,https://forum.openrov.com/t/error-compiling-i2c-cc-fatal-error/5669,Software,1.0k,2/21/18,3
Andriod or windows with Openrov,https://forum.openrov.com/t/andriod-or-windows-with-openrov/6164,Project and Build Discussion,342,2/16/18,1
Feasibility study: underwater -500 meters exploration,https://forum.openrov.com/t/feasibility-study-underwater-500-meters-exploration/6133,Hardware,454,2/16/18,3
Using Auxiliary Wires,https://forum.openrov.com/t/using-auxiliary-wires/6132,Electronics,480,2/8/18,5
Underwater wireless communication,https://forum.openrov.com/t/underwater-wireless-communication/6139,Electronics,572,2/5/18,1
Any suggestions for alternative Structure from Motion Cameras?,https://forum.openrov.com/t/any-suggestions-for-alternative-structure-from-motion-cameras/4263,Open Talk,2.5k,2/3/18,6
Project: A fully autonomous OpenROV,https://forum.openrov.com/t/project-a-fully-autonomous-openrov/3861,Project and Build Discussion,5.3k,2/2/18,20
Saving video stream to sd card in Beaglebone?,https://forum.openrov.com/t/saving-video-stream-to-sd-card-in-beaglebone/1060,Software,3.2k,1/29/18,14
Long Range Wireless Buoy,https://forum.openrov.com/t/long-range-wireless-buoy/2869,Open Talk,7.2k,1/26/18,22
Looking for someone to Build my OpenROV 2.8,https://forum.openrov.com/t/looking-for-someone-to-build-my-openrov-2-8/6092,Open Talk,491,1/17/18,4
The Difference between versions,https://forum.openrov.com/t/the-difference-between-versions/4220,Open Talk,1.1k,1/16/18,5
Raspberry Pi to Raspberry Pi Tether Communication,https://forum.openrov.com/t/raspberry-pi-to-raspberry-pi-tether-communication/6075,Electronics,421,1/14/18,2
Programming the OpenROV Cockpit,https://forum.openrov.com/t/programming-the-openrov-cockpit/2981,Software,2.2k,1/13/18,6
On board Battery - Lithium-ion a no go?,https://forum.openrov.com/t/on-board-battery-lithium-ion-a-no-go/5245,Hardware,1.6k,1/11/18,9
Laser Pointers,https://forum.openrov.com/t/laser-pointers/631,Open Talk,5.5k,1/9/18,21
Is there a way to record video without using a topside laptop?,https://forum.openrov.com/t/is-there-a-way-to-record-video-without-using-a-topside-laptop/5411,Electronics,628,1/4/18,4
For UK ROVers - Fabulous case!,https://forum.openrov.com/t/for-uk-rovers-fabulous-case/3554,Open Talk,2.8k,1/3/18,16
Why use .stl 3D files if you are going to Lasercut the Acrylic sheet in 2D?,https://forum.openrov.com/t/why-use-stl-3d-files-if-you-are-going-to-lasercut-the-acrylic-sheet-in-2d/6059,Hardware,252,1/3/18,0
Best Method/Material for Motor potting,https://forum.openrov.com/t/best-method-material-for-motor-potting/6056,Hardware,352,1/2/18,0
Waterproof connectors - any suggestions?,https://forum.openrov.com/t/waterproof-connectors-any-suggestions/221,Hardware,11.5k,Dec '17,33
"Waterproof connectors for Battery tubes, for Theter?",https://forum.openrov.com/t/waterproof-connectors-for-battery-tubes-for-theter/5381,Hardware,918,Dec '17,10
