Title,Url,Category,Replies,Views,Activity
About the OpenROV Product Support category,https://forum.openrov.com/t/about-the-openrov-product-support-category/2399,OpenROV Product Support,0,1.2k,Oct '16
How to write a good help and support request,https://forum.openrov.com/t/how-to-write-a-good-help-and-support-request/2403,OpenROV Product Support,2,1.5k,Apr '15
Trident Tether Construction?,https://forum.openrov.com/t/trident-tether-construction/6997,Trident,2,53,15h
Trident return home option,https://forum.openrov.com/t/trident-return-home-option/7002,OpenROV Product Support,0,56,4d
"50 - 60m Tether OPTION on a std spool, can we have one",https://forum.openrov.com/t/50-60m-tether-option-on-a-std-spool-can-we-have-one/6962,Add-ons / Accessories,2,75,8d
Trident control,https://forum.openrov.com/t/trident-control/6256,Trident,14,1.3k,13d
JXD owner access denied,https://forum.openrov.com/t/jxd-owner-access-denied/6959,Trident,0,60,15d
Trident Cockpit (near) Autonomous Pattern Search,https://forum.openrov.com/t/trident-cockpit-near-autonomous-pattern-search/6953,Trident,0,72,17d
Trident Video Glitch,https://forum.openrov.com/t/trident-video-glitch/6446,Trident,9,488,18d
Trident Tether VS OpenROV Tether,https://forum.openrov.com/t/trident-tether-vs-openrov-tether/6541,Trident,4,328,18d
Extracting video files from trident,https://forum.openrov.com/t/extracting-video-files-from-trident/6939,Trident,1,74,21d
Sourcing o-rings in Europe,https://forum.openrov.com/t/sourcing-o-rings-in-europe/2999,OpenROV 2.5 - 2.8,3,865,22d
FPV goggles for the Trident?,https://forum.openrov.com/t/fpv-goggles-for-the-trident/6119,Trident,5,925,22d
No lights showing on topside,https://forum.openrov.com/t/no-lights-showing-on-topside/6907,OpenROV Product Support,5,107,22d
Trident to Pixel One Connectivity Issue Resolved,https://forum.openrov.com/t/trident-to-pixel-one-connectivity-issue-resolved/6871,Trident,1,97,23d
Trident Controls how to correct?,https://forum.openrov.com/t/trident-controls-how-to-correct/6624,Trident,5,279,26d
User manual trident,https://forum.openrov.com/t/user-manual-trident/6909,OpenROV Product Support,0,69,27d
Nexus 7 tablet camera not working,https://forum.openrov.com/t/nexus-7-tablet-camera-not-working/6899,OpenROV Product Support,3,67,28d
What thread for the tether connection?,https://forum.openrov.com/t/what-thread-for-the-tether-connection/6880,Trident,3,110,10/12/18
1080p video not recorded,https://forum.openrov.com/t/1080p-video-not-recorded/6888,Trident,2,87,10/11/18
Gen 2 Motor Status?,https://forum.openrov.com/t/gen-2-motor-status/6806,Trident,3,198,10/3/18
Camera Quality Concerns,https://forum.openrov.com/t/camera-quality-concerns/6252,Trident,9,794,10/1/18
Pitch thruster mounting screws,https://forum.openrov.com/t/pitch-thruster-mounting-screws/6787,Trident,3,120,9/28/18
V1.5.1 Trident update is stuck at Idle (100%),https://forum.openrov.com/t/v1-5-1-trident-update-is-stuck-at-idle-100/6609,Trident,6,363,9/23/18
Transfer video clips via USB on wifi buoy,https://forum.openrov.com/t/transfer-video-clips-via-usb-on-wifi-buoy/6625,Trident,4,313,9/23/18
FTP access to media files,https://forum.openrov.com/t/ftp-access-to-media-files/6191,Trident,2,355,9/22/18
No response from Support,https://forum.openrov.com/t/no-response-from-support/6784,OpenROV Product Support,3,120,9/21/18
[Solved] Shipping Status of Trident,https://forum.openrov.com/t/solved-shipping-status-of-trident/6223,Trident,8,859,9/17/18
App not connecting to Trident,https://forum.openrov.com/t/app-not-connecting-to-trident/6767,Trident,1,101,9/15/18
[SOLVED] Trident 1080 video- Where is it?,https://forum.openrov.com/t/solved-trident-1080-video-where-is-it/6754,Trident,4,258,9/13/18
Is this payload going to work?,https://forum.openrov.com/t/is-this-payload-going-to-work/6702,Trident,6,256,9/11/18
Wireless to Payload status?,https://forum.openrov.com/t/wireless-to-payload-status/6409,Trident,7,380,9/6/18
How to use stored telemetry data?,https://forum.openrov.com/t/how-to-use-stored-telemetry-data/6430,Trident,4,824,9/4/18
Batteries won’t charge on new Trident,https://forum.openrov.com/t/batteries-wont-charge-on-new-trident/6699,Trident,0,142,8/31/18
Battery tube end cap,https://forum.openrov.com/t/battery-tube-end-cap/6713,OpenROV Product Support,5,67,8/30/18
About the four LEDs (red and green) on the tail of Trident,https://forum.openrov.com/t/about-the-four-leds-red-and-green-on-the-tail-of-trident/6443,Trident,1,328,8/29/18
Help in launching raspberry pi 3 model B,https://forum.openrov.com/t/help-in-launching-raspberry-pi-3-model-b/6674,OpenROV Product Support,4,58,8/25/18
Camera freezing issues with OpenROV 2.8,https://forum.openrov.com/t/camera-freezing-issues-with-openrov-2-8/4324,OpenROV 2.5 - 2.8,4,1.2k,8/18/18
Troubleshooting: No Motor activity,https://forum.openrov.com/t/troubleshooting-no-motor-activity/6637,Trident,2,107,8/17/18
